Sensor,MAC,Reference MAC,Adjustment
Temperature(°C),90:FD:9F:7B:83:D6,90:FD:9F:7B:84:67,-0.016
Temperature(°C),00:0D:6F:20:D4:96,90:FD:9F:7B:84:67,-0.049
Temperature(°C),00:0D:6F:20:D3:F3,90:FD:9F:7B:84:67,0.408
Temperature(°C),90:FD:9F:7B:81:06,90:FD:9F:7B:84:67,-0.227
Temperature(°C),90:FD:9F:7B:82:50,90:FD:9F:7B:84:67,-0.097
Ambient light(x),90:FD:9F:7B:84:67,00:0D:6F:20:D3:F3,20.993
Ambient light(x),90:FD:9F:7B:83:D1,00:0D:6F:20:D3:F3,29.527
Ambient light(x),90:FD:9F:7B:83:D6,00:0D:6F:20:D3:F3,0.306
Ambient light(x),00:0D:6F:20:D4:96,00:0D:6F:20:D3:F3,-31.713
Ambient light(x),90:FD:9F:7B:81:06,00:0D:6F:20:D3:F3,-34.230
Ambient light(x),90:FD:9F:7B:82:50,00:0D:6F:20:D3:F3,1.845
Pressure(mbar),90:FD:9F:7B:84:67,90:FD:9F:7B:83:D6,-0.391
Pressure(mbar),90:FD:9F:7B:83:D1,90:FD:9F:7B:83:D6,0.689
Pressure(mbar),00:0D:6F:20:D4:96,90:FD:9F:7B:83:D6,0.248
Pressure(mbar),90:FD:9F:7B:81:06,90:FD:9F:7B:83:D6,0.481
Pressure(mbar),00:0D:6F:20:D3:F3,90:FD:9F:7B:83:D6,0.337
Pressure(mbar),90:FD:9F:7B:82:50,90:FD:9F:7B:83:D6,-1.248
humidity(%),90:FD:9F:7B:84:67,90:FD:9F:7B:83:D6,0.407
humidity(%),00:0D:6F:20:D4:96,90:FD:9F:7B:83:D6,-0.750
humidity(%),90:FD:9F:7B:81:06,90:FD:9F:7B:83:D6,0.362
humidity(%),00:0D:6F:20:D3:F3,90:FD:9F:7B:83:D6,-1.183
humidity(%),90:FD:9F:7B:82:50,90:FD:9F:7B:83:D6,0.058
sound level(dB),90:FD:9F:7B:84:67,90:FD:9F:7B:82:50,0.211
sound level(dB),90:FD:9F:7B:83:D1,90:FD:9F:7B:82:50,0.112
sound level(dB),90:FD:9F:7B:83:D6,90:FD:9F:7B:82:50,-0.485
sound level(dB),00:0D:6F:20:D4:96,90:FD:9F:7B:82:50,0.318
sound level(dB),90:FD:9F:7B:81:06,90:FD:9F:7B:82:50,0.228
sound level(dB),00:0D:6F:20:D3:F3,90:FD:9F:7B:82:50,0.163
CO2(ppm),90:FD:9F:7B:84:67,00:0D:6F:20:D3:F3,-26.110
CO2(ppm),90:FD:9F:7B:83:D1,00:0D:6F:20:D3:F3,-214.498
CO2(ppm),90:FD:9F:7B:83:D6,00:0D:6F:20:D3:F3,223.705
CO2(ppm),90:FD:9F:7B:81:06,00:0D:6F:20:D3:F3,243.442
CO2(ppm),90:FD:9F:7B:82:50,00:0D:6F:20:D3:F3,-33.994
VOCs(ppb),90:FD:9F:7B:84:67,00:0D:6F:20:D3:F3,-0.400
VOCs(ppb),90:FD:9F:7B:83:D1,00:0D:6F:20:D3:F3,-3.268
VOCs(ppb),90:FD:9F:7B:83:D6,00:0D:6F:20:D3:F3,3.408
VOCs(ppb),90:FD:9F:7B:81:06,00:0D:6F:20:D3:F3,3.703
VOCs(ppb),90:FD:9F:7B:82:50,00:0D:6F:20:D3:F3,-0.515
