Sensor,MAC,Reference MAC,Adjustment
Ambient light(x),90:FD:9F:7B:84:53,90:FD:9F:7B:83:F3,-30.04209730430034
Ambient light(x),90:FD:9F:7B:82:50,90:FD:9F:7B:83:F3,44.4338497915229
Ambient light(x),90:FD:9F:7B:53:3E,90:FD:9F:7B:83:F3,-32.19479199679864
Ambient light(x),90:FD:9F:7B:83:D6,90:FD:9F:7B:83:F3,-48.03199288551059
Pressure(mbar),90:FD:9F:7B:84:53,90:FD:9F:7B:83:D6,0.07979889773400828
Pressure(mbar),90:FD:9F:7B:82:50,90:FD:9F:7B:83:D6,-1.2742468556816675
humidity(%),90:FD:9F:7B:83:F3,90:FD:9F:7B:84:53,-0.539155843710752
humidity(%),90:FD:9F:7B:82:50,90:FD:9F:7B:84:53,-0.8830552771650204
humidity(%),90:FD:9F:7B:53:3E,90:FD:9F:7B:84:53,5.432638073843847
humidity(%),90:FD:9F:7B:83:D6,90:FD:9F:7B:84:53,-0.07675011257233777
sound level(dB),90:FD:9F:7B:83:F3,90:FD:9F:7B:83:D6,0.46391368506553476
sound level(dB),90:FD:9F:7B:84:53,90:FD:9F:7B:83:D6,-0.057310503430350934
sound level(dB),90:FD:9F:7B:82:50,90:FD:9F:7B:83:D6,-0.062429363982548836
sound level(dB),90:FD:9F:7B:53:3E,90:FD:9F:7B:83:D6,0.5277322817961405
CO2(ppm),90:FD:9F:7B:84:53,90:FD:9F:7B:83:D6,46.788769566563985
CO2(ppm),90:FD:9F:7B:82:50,90:FD:9F:7B:83:D6,-423.2713957786041
VOCs(ppb),90:FD:9F:7B:84:53,90:FD:9F:7B:83:D6,0.7060431671944387
VOCs(ppb),90:FD:9F:7B:82:50,90:FD:9F:7B:83:D6,-6.443519091575313
