Timestamp,90:FD:9F:7B:82:50
2024-07-10 17:19:33.515363,-27.2317526067543
2024-07-10 17:19:35.806974,-25.260426265523563
2024-07-10 17:19:38.146944,-24.59850891056493
2024-07-10 17:19:40.438266,-24.266394380552754
2024-07-10 17:19:42.730622,-24.066597316502964
2024-07-10 17:19:45.020997,-23.93307046958455
2024-07-10 17:19:47.312342,-23.837454283821387
2024-07-10 17:19:49.604312,-23.765551495617785
2024-07-10 17:19:51.895360,-23.709467923318925
2024-07-10 17:19:54.186292,-23.66446407094952
2024-07-10 17:19:56.477572,-23.62752247854013
2024-07-10 17:19:58.818114,-23.59663080037018
2024-07-10 17:20:01.157668,-23.570395515469045
2024-07-10 17:20:03.449011,-23.5478210722859
2024-07-10 17:20:05.740760,-23.528177316379015
2024-07-10 17:20:08.080367,-23.51091660145346
2024-07-10 17:20:10.371652,-23.495620137946617
2024-07-10 17:20:12.664335,-23.48196221533874
2024-07-10 17:20:14.954203,-23.469685716613753
2024-07-10 17:20:17.342908,-23.45858497461336
2024-07-10 17:20:19.683318,-23.448493524167475
2024-07-10 17:20:21.974289,-23.43927519297938
2024-07-10 17:20:24.265594,-23.43081751557935
2024-07-10 17:20:26.556805,-23.423026793083295
2024-07-10 17:20:28.848763,-23.415824338127152
2024-07-10 17:20:31.139264,-23.409143586029415
2024-07-10 17:20:33.430494,-23.402927847696617
2024-07-10 17:20:35.771594,-23.397128543906206
2024-07-10 17:20:38.061744,-23.391703804821645
2024-07-10 17:20:40.352962,-23.386617349556616
2024-07-10 17:20:42.644952,-23.38183758257975
2024-07-10 17:20:44.935644,-23.377336859549473
2024-07-10 17:20:47.226775,-23.373090886655348
2024-07-10 17:20:49.517916,-23.369078225994144
2024-07-10 17:20:51.809658,-23.365279885784616
2024-07-10 17:20:54.100278,-23.361678978933696
2024-07-10 17:20:56.391495,-23.35826043702957
2024-07-10 17:20:58.684596,-23.35501076955768
2024-07-10 17:21:00.973942,-23.35191786022716
2024-07-10 17:21:03.265349,-23.348970793916862
2024-07-10 17:21:05.606144,-23.346159709015808
2024-07-10 17:21:07.896514,-23.3434756709284
2024-07-10 17:21:10.187536,-23.34091056329919
2024-07-10 17:21:12.478709,-23.338456994140245
2024-07-10 17:21:14.818808,-23.33610821454198
2024-07-10 17:21:17.109873,-23.33385804805374
2024-07-10 17:21:19.449817,-23.331700829143756
2024-07-10 17:21:21.742010,-23.329631349414
2024-07-10 17:21:24.032242,-23.327644810461095
2024-07-10 17:21:26.372166,-23.325736782451486
2024-07-10 17:21:28.664290,-23.323903167625474
2024-07-10 17:21:30.954557,-23.32214016806472
2024-07-10 17:21:33.245865,-23.320444257158613
2024-07-10 17:21:35.537031,-23.318812154288366
2024-07-10 17:21:37.829094,-23.31724080231743
2024-07-10 17:21:40.119267,-23.315727347535017
2024-07-10 17:21:42.410453,-23.314269121750897
2024-07-10 17:21:44.703231,-23.31286362627793
2024-07-10 17:21:46.992847,-23.311508517578773
2024-07-10 17:21:49.284211,-23.310201594378555
2024-07-10 17:21:51.576399,-23.308940786074402
2024-07-10 17:21:53.866845,-23.307724142293978
2024-07-10 17:21:56.206263,-23.306549823472608
2024-07-10 17:21:58.497427,-23.30541609233609
2024-07-10 17:22:00.789070,-23.30432130619039
2024-07-10 17:22:03.079772,-23.303263909930763
2024-07-10 17:22:05.370964,-23.30224242969308
