Sensor,MAC,Reference MAC,Adjustment
Temperature(°C),90:FD:9F:7B:83:D6,90:FD:9F:7B:84:FD,0.06522084835350483
Temperature(°C),90:FD:9F:7B:84:EA,90:FD:9F:7B:84:FD,-0.34210452404430214
Temperature(°C),00:0D:6F:20:D4:68,90:FD:9F:7B:84:FD,-0.7781875859991594
Temperature(°C),90:FD:9F:7B:81:06,90:FD:9F:7B:84:FD,0.10034229598796074
Temperature(°C),00:0B:57:64:8C:41,90:FD:9F:7B:84:FD,0.04480531337536675
Ambient light(x),90:FD:9F:7B:83:D6,90:FD:9F:7B:81:06,0.6925142455200124
Ambient light(x),90:FD:9F:7B:84:FD,90:FD:9F:7B:81:06,1.548195139248289
Ambient light(x),90:FD:9F:7B:84:EA,90:FD:9F:7B:81:06,0.4899503864088963
Ambient light(x),90:FD:9F:7B:85:2B,90:FD:9F:7B:81:06,4.087522471193569
Ambient light(x),00:0D:6F:20:D4:68,90:FD:9F:7B:81:06,-1.315227920738856
Ambient light(x),00:0B:57:64:8C:41,90:FD:9F:7B:81:06,-5.422145541055933
Pressure(mbar),90:FD:9F:7B:83:D6,90:FD:9F:7B:81:06,-0.45214902544284996
Pressure(mbar),90:FD:9F:7B:84:FD,90:FD:9F:7B:81:06,-0.8081946049104545
Pressure(mbar),90:FD:9F:7B:84:EA,90:FD:9F:7B:81:06,0.29341492183050377
Pressure(mbar),90:FD:9F:7B:85:2B,90:FD:9F:7B:81:06,-0.5418411824189207
Pressure(mbar),00:0D:6F:20:D4:68,90:FD:9F:7B:81:06,0.26735879050443145
humidity(%),90:FD:9F:7B:83:D6,90:FD:9F:7B:84:FD,-0.6208307593517617
humidity(%),90:FD:9F:7B:84:EA,90:FD:9F:7B:84:FD,-0.09863029504955279
humidity(%),90:FD:9F:7B:85:2B,90:FD:9F:7B:84:FD,-1.4618508401030894
humidity(%),00:0D:6F:20:D4:68,90:FD:9F:7B:84:FD,0.9596451334327938
humidity(%),90:FD:9F:7B:81:06,90:FD:9F:7B:84:FD,-0.7052748200191274
humidity(%),00:0B:57:64:8C:41,90:FD:9F:7B:84:FD,1.8575056577654188
sound level(dB),90:FD:9F:7B:84:FD,90:FD:9F:7B:83:D6,0.4337761193836087
sound level(dB),90:FD:9F:7B:84:EA,90:FD:9F:7B:83:D6,0.828276455768929
sound level(dB),90:FD:9F:7B:85:2B,90:FD:9F:7B:83:D6,0.5570574740103744
sound level(dB),00:0D:6F:20:D4:68,90:FD:9F:7B:83:D6,0.7262693629118786
sound level(dB),90:FD:9F:7B:81:06,90:FD:9F:7B:83:D6,0.46921705661769764
sound level(dB),00:0B:57:64:8C:41,90:FD:9F:7B:83:D6,-18.195825364630235
CO2(ppm),90:FD:9F:7B:83:D6,90:FD:9F:7B:84:EA,-0.011954799505335068
CO2(ppm),90:FD:9F:7B:84:FD,90:FD:9F:7B:84:EA,-0.2826069972506797
CO2(ppm),90:FD:9F:7B:85:2B,90:FD:9F:7B:84:EA,0.07375065353557453
CO2(ppm),00:0D:6F:20:D4:68,90:FD:9F:7B:84:EA,0.32125483947087563
CO2(ppm),90:FD:9F:7B:81:06,90:FD:9F:7B:84:EA,0.22971472126961778
CO2(ppm),00:0B:57:64:8C:41,90:FD:9F:7B:84:EA,0.05587660169691144
VOCs(ppb),90:FD:9F:7B:83:D6,90:FD:9F:7B:84:EA,-0.017817168360035662
VOCs(ppb),90:FD:9F:7B:84:FD,90:FD:9F:7B:84:EA,-0.4288586188288388
VOCs(ppb),90:FD:9F:7B:85:2B,90:FD:9F:7B:84:EA,0.10539513265850653
VOCs(ppb),00:0D:6F:20:D4:68,90:FD:9F:7B:84:EA,0.4841067765743503
VOCs(ppb),90:FD:9F:7B:81:06,90:FD:9F:7B:84:EA,0.3566766286662517
VOCs(ppb),00:0B:57:64:8C:41,90:FD:9F:7B:84:EA,0.08403596375001587
